# Latitude(North), Longitude(East)
512 493
511 495
509 494
509 493
507 492
507 491
506 491
506 489
507 489
508 489
509 489
509 490
511 491
510 492
510 493
510 494
512 493
506 488
506 487
507 485
507 486
506 488
518 497
519 500
518 501
518 501
518 503
516 501
515 502
515 504
517 506
516 505
514 505
515 503
514 502
514 501
513 501
513 500
512 501
512 502
511 500
509 501
510 499
510 498
510 497
508 497
507 497
505 495
505 494
506 496
507 496
508 495
509 496
510 496
512 496
512 496
513 496
512 497
513 498
514 499
514 498
515 499
516 500
516 500
517 500
518 499
518 498
518 497
513 516
511 516
511 517
509 518
509 520
508 516
507 515
506 515
505 515
504 513
505 512
505 513
506 515
509 514
510 514
511 514
513 516
502 511
500 513
500 510
501 510
501 511
502 511
500 509
499 508
498 507
497 509
497 508
497 507
498 507
499 508
500 507
500 509
496 490
495 488
496 488
497 489
496 490
496 504
495 504
494 503
494 500
495 501
496 504
494 503
492 503
491 505
491 502
490 502
491 502
493 500
493 501
493 502
494 503
490 516
490 516
490 516
490 515
490 516
487 513
487 514
486 514
486 513
486 513
487 513
493 508
492 508
491 508
490 508
489 511
489 509
489 508
489 507
487 507
486 506
485 504
484 504
484 503
485 502
486 503
486 504
487 505
493 508
481 501
479 501
480 500
481 501
479 503
477 504
478 503
479 503
472 501
473 502
473 502
472 502
472 501
470 501
470 501
470 502
469 501
470 501
469 494
469 491
471 489
471 491
470 491
470 492
469 494
468 492
467 489
466 489
467 488
468 491
468 492
456 476
455 476
455 476
455 475
456 476
449 498
448 498
448 496
449 498
450 492
449 492
448 493
447 493
448 491
449 490
450 489
450 488
448 488
447 487
448 486
450 487
453 487
453 488
452 488
451 490
449 492
450 491
450 492
447 497
447 495
448 495
447 497
446 477
448 476
448 477
446 477
446 477
440 494
441 495
440 495
439 495
438 496
437 496
438 495
439 494
437 493
437 493
440 492
442 490
442 489
441 487
439 488
439 487
439 486
436 486
436 483
435 482
436 482
437 484
438 482
439 483
439 481
440 482
440 483
441 484
442 485
443 483
444 484
445 484
444 484
443 485
444 486
443 487
443 488
444 488
443 489
444 490
443 491
442 492
440 494
438 473
437 475
436 474
434 474
434 474
435 476
435 477
435 477
435 478
436 479
437 478
437 479
439 479
440 479
441 477
440 476
439 476
438 476
439 475
438 473
433 482
433 482
432 482
432 482
433 482
429 480
429 481
429 483
427 482
428 481
429 480
427 478
428 478
430 478
429 479
431 479
431 480
429 480
426 490
426 490
424 490
425 490
425 490
425 490
426 490
426 484
425 485
425 486
425 487
425 485
423 485
424 484
422 482
424 482
423 481
422 480
422 479
423 478
422 477
424 478
424 481
425 482
426 482
426 484
420 472
421 477
420 476
419 475
418 475
417 474
418 473
419 472
420 472
414 472
415 474
415 473
414 472
413 471
414 472
406 471
406 471
405 471
404 471
404 471
404 469
405 470
406 469
406 471
371 461
371 462
370 462
370 461
371 461
