# Latitude(North), Longitude(East)
574 537
573 537
573 537
573 537
573 537
573 537
573 538
573 538
573 538
573 538
573 538
573 539
573 539
573 539
573 540
572 539
572 540
572 540
572 540
572 540
571 539
571 539
571 540
572 541
572 541
573 542
573 542
572 542
572 542
572 543
572 543
571 543
572 544
572 543
572 544
572 544
572 544
572 544
571 544
571 544
571 544
571 545
571 546
571 546
571 545
570 546
570 546
570 546
570 546
570 546
570 547
570 547
570 549
570 549
570 549
570 549
570 549
570 550
570 550
570 550
570 551
570 551
570 551
570 551
570 551
570 552
570 552
570 552
570 553
571 554
571 554
570 554
570 554
569 553
569 553
569 554
569 554
569 554
569 554
569 554
569 554
569 553
569 553
568 553
567 553
567 553
567 553
567 553
566 553
566 554
566 554
565 554
565 554
565 554
565 554
564 554
564 554
564 554
564 554
563 554
563 554
563 555
562 555
562 556
562 556
562 556
562 556
562 557
562 557
562 559
562 559
561 559
562 560
562 560
561 560
561 560
561 560
561 560
561 560
560 560
560 560
560 559
560 559
560 559
559 558
560 558
560 558
559 557
559 557
559 557
559 557
559 556
559 556
558 555
558 555
558 554
558 554
557 554
557 553
556 553
556 553
556 553
556 553
556 552
556 552
555 552
555 551
555 551
554 551
554 551
554 551
553 550
552 550
552 549
551 548
550 547
550 547
549 547
548 546
547 546
545 546
545 546
544 546
543 545
542 546
541 545
540 546
540 546
538 546
538 547
537 547
537 547
536 547
534 547
533 547
532 547
532 548
531 548
530 548
530 549
529 549
529 550
529 550
528 551
528 550
528 550
528 550
528 550
528 550
528 550
529 549
529 549
528 549
528 549
528 549
528 549
528 549
528 549
528 550
527 549
527 549
527 549
527 549
527 550
527 550
527 550
527 550
527 550
526 550
526 550
526 550
525 550
525 550
524 550
524 550
524 550
523 550
523 550
522 549
522 549
522 548
522 548
522 547
521 547
520 547
520 547
520 547
520 548
520 548
520 548
520 548
519 548
519 548
519 549
519 549
519 548
519 548
518 548
518 547
518 547
518 547
517 546
517 546
516 546
516 545
515 545
515 544
514 543
513 543
511 543
510 543
509 543
508 542
506 542
505 542
505 542
504 541
503 540
501 539
500 538
500 537
498 536
497 534
496 533
495 533
493 533
492 533
491 533
490 532
489 531
488 530
487 529
486 529
484 529
482 530
481 532
481 532
480 531
479 530
479 530
477 529
477 529
476 529
475 529
474 529
473 528
472 528
470 528
468 528
466 527
465 527
465 526
463 526
462 526
461 526
460 525
458 525
458 524
456 524
456 524
455 524
455 524
454 524
453 523
453 523
452 523
452 523
450 522
449 522
447 522
447 522
445 521
445 521
443 521
443 521
443 521
442 520
441 520
440 520
440 521
440 521
439 521
439 521
439 521
439 521
439 521
438 521
438 520
437 520
437 520
435 520
435 520
434 519
433 519
433 519
432 519
430 518
429 518
429 518
428 517
427 517
426 517
425 517
425 517
425 517
425 516
424 515
423 514
422 514
422 514
421 514
419 513
418 513
418 514
418 514
417 513
417 512
415 512
415 512
414 512
414 513
413 512
412 512
411 512
410 513
409 512
410 512
410 512
409 512
409 511
408 511
408 510
408 509
407 509
406 509
406 509
406 508
405 508
405 508
404 508
402 507
402 507
402 506
401 506
401 506
400 506
400 506
399 505
399 505
398 505
398 505
397 504
396 503
396 503
396 503
396 502
396 502
395 502
394 502
393 501
393 501
392 500
391 500
391 499
390 499
389 499
389 498
390 498
390 498
390 498
389 496
389 496
389 496
388 495
388 495
387 495
386 495
386 495
386 495
385 496
386 496
386 496
385 496
385 496
384 496
384 495
383 495
382 494
381 494
380 493
380 493
379 492
378 491
377 490
377 489
377 488
377 488
377 488
377 488
377 488
377 488
376 486
376 486
375 485
375 485
374 485
374 484
374 483
373 482
372 481
371 481
369 481
368 481
367 481
367 480
366 479
366 479
364 478
364 478
362 478
362 477
361 477
360 477
359 476
358 476
357 476
356 475
355 475
354 475
354 475
353 474
352 474
352 474
351 473
349 473
348 472
347 471
346 471
345 471
344 471
343 471
342 471
341 471
340 472
340 472
339 472
339 472
338 472
338 471
337 471
337 472
336 472
335 471
334 472
333 471
333 471
332 471
331 472
331 471
331 471
330 471
330 471
329 471
329 471
329 472
328 472
327 471
326 471
326 472
325 471
325 472
324 471
324 472
323 472
322 471
322 471
321 470
321 470
320 470
319 469
320 468
320 468
319 468
319 468
319 468
319 467
319 467
319 467
318 467
318 468
317 467
317 467
316 467
316 467
315 467
315 468
315 468
314 468
313 469
313 469
312 469
312 468
312 468
312 468
313 468
313 468
313 467
314 466
315 466
315 466
315 466
315 465
315 465
315 464
315 464
315 464
315 464
316 464
316 463
316 463
316 463
316 463
316 463
316 463
316 462
316 462
316 462
317 461
317 461
317 461
316 460
316 460
316 460
316 459
316 459
315 459
315 460
315 460
314 459
314 459
314 459
314 458
314 458
315 457
315 457
315 457
315 457
315 457
315 457
316 457
317 457
318 457
318 457
319 457
319 457
320 456
320 456
320 456
321 455
321 455
322 455
322 455
323 455
323 455
324 456
324 455
325 456
325 456
325 456
325 456
325 457
326 457
326 457
326 456
326 456
326 456
327 456
327 457
327 457
328 457
328 457
328 457
329 457
329 457
329 457
330 457
330 457
330 457
330 456
331 456
331 456
331 456
332 456
332 456
332 456
333 455
333 456
334 455
335 455
335 455
336 455
336 455
337 455
337 454
338 454
338 454
339 454
339 453
340 453
340 452
340 452
340 452
341 452
341 452
342 452
342 452
343 451
344 451
344 451
345 451
345 451
346 450
346 450
347 449
347 449
347 449
348 448
349 448
350 447
350 446
351 445
351 445
352 444
352 443
353 442
353 441
353 441
354 440
354 440
354 439
355 438
355 438
355 437
356 437
356 436
357 435
357 435
358 435
358 434
358 434
358 434
358 434
361 429
361 428
361 428
362 428
362 427
363 427
363 426
363 426
363 426
364 425
364 425
365 425
365 424
365 424
367 423
367 422
368 422
368 421
369 421
369 421
370 421
370 421
371 421
371 420
373 420
373 420
374 420
374 421
374 421
375 421
375 421
375 421
375 421
375 421
375 422
375 422
375 422
376 422
376 422
376 422
376 422
376 422
377 422
377 422
377 422
377 421
376 421
376 421
376 421
376 421
377 421
377 421
378 420
378 420
378 420
378 420
378 420
378 420
379 420
379 419
380 419
381 419
381 419
382 418
383 418
383 418
384 417
386 417
386 416
387 416
388 416
388 416
389 415
391 415
391 415
391 414
392 414
393 414
393 414
393 414
394 414
395 414
396 414
397 413
398 413
399 412
399 411
400 410
401 409
402 408
402 407
403 406
403 405
403 405
403 405
403 404
403 404
404 404
404 404
406 403
406 403
407 403
407 403
408 402
409 403
409 404
410 405
410 406
411 406
412 406
412 406
414 406
414 405
415 405
416 406
416 406
417 406
417 406
418 406
418 407
419 407
419 408
420 408
420 408
420 408
420 408
421 408
421 408
421 408
422 409
422 409
422 409
423 408
423 408
424 409
424 408
425 409
426 409
427 409
427 409
427 409
427 409
428 409
428 409
428 409
429 410
430 411
430 411
429 411
429 411
429 412
430 412
430 412
429 412
431 412
432 413
432 413
432 413
433 413
433 413
433 412
432 412
433 412
434 412
434 412
435 411
435 411
435 412
436 412
436 411
437 411
438 411
438 412
438 412
439 412
439 412
439 413
440 412
440 412
439 410
439 410
440 409
441 409
442 409
442 409
442 410
442 411
442 411
443 411
443 411
442 412
443 412
443 412
444 411
444 411
444 411
445 411
445 411
446 411
446 411
447 411
448 411
448 411
448 411
449 411
450 411
452 411
452 412
453 412
454 413
456 414
456 414
456 414
456 415
456 415
456 414
457 414
458 413
459 414
459 415
459 415
460 415
460 416
461 416
461 416
461 416
462 416
462 416
462 417
463 417
463 417
463 417
464 417
464 417
465 417
465 418
465 418
466 418
466 418
466 419
466 419
466 419
466 420
466 421
466 421
466 421
466 421
466 421
465 422
465 423
466 422
466 422
467 421
467 421
467 422
467 422
469 421
469 422
469 422
470 423
471 424
472 424
474 425
475 425
475 426
476 426
477 427
477 427
477 427
477 426
478 426
479 426
479 427
479 427
479 428
480 428
481 429
482 429
483 430
483 430
484 432
485 433
485 433
486 433
486 433
487 434
487 434
487 435
488 435
488 434
489 435
490 435
490 435
490 433
491 434
492 434
493 435
493 437
493 438
494 437
494 438
494 438
494 438
495 438
495 439
495 439
496 439
496 439
496 439
496 439
497 440
498 438
499 439
499 439
501 440
502 440
503 441
504 442
504 442
504 442
504 443
504 443
504 443
504 444
504 444
505 444
505 444
506 444
506 444
507 444
507 444
507 445
508 445
508 445
508 445
508 446
509 446
509 446
509 446
509 447
510 447
510 447
510 447
511 447
511 447
511 447
511 447
511 447
512 447
512 447
512 448
512 448
512 448
513 448
513 448
513 448
513 449
514 449
514 449
514 449
514 449
514 449
515 449
515 450
515 450
515 450
516 450
516 450
516 450
516 451
517 451
517 452
517 452
517 452
518 452
518 453
518 453
519 453
519 454
519 453
520 454
520 454
521 455
523 455
524 455
525 456
525 456
526 457
527 457
528 458
528 458
529 458
529 459
529 459
529 460
530 460
530 460
531 461
531 461
532 461
532 462
533 462
534 466
534 466
535 467
535 467
536 468
536 469
538 469
539 470
539 470
540 472
540 472
541 473
541 472
543 473
543 473
544 473
544 473
544 473
545 473
545 473
545 473
545 473
545 473
546 473
548 474
548 474
549 475
549 476
550 476
550 476
551 476
552 477
553 478
553 477
554 478
555 479
555 479
556 479
556 480
557 480
558 481
558 481
559 481
560 481
560 482
561 482
561 483
562 483
563 484
564 485
564 486
565 488
566 489
566 491
566 492
567 494
567 494
568 496
569 497
569 498
569 498
569 499
569 499
569 499
570 500
570 500
570 500
570 501
570 501
570 502
570 503
570 503
570 504
570 504
570 504
570 506
570 506
570 507
571 508
571 509
571 509
572 511
572 511
574 513
574 513
575 513
575 512
575 513
575 513
575 513
576 514
577 515
578 515
578 515
579 516
579 516
580 516
580 516
580 517
580 517
580 517
581 518
581 518
582 520
582 520
583 520
583 521
583 521
583 521
583 521
583 521
583 522
583 522
583 523
584 523
584 523
584 523
584 523
584 523
584 523
583 524
584 524
584 524
583 525
584 525
584 525
584 525
584 526
584 526
584 526
584 527
583 528
583 528
583 529
582 529
582 530
581 531
581 531
579 531
579 531
579 532
579 532
579 532
578 532
578 532
577 533
577 533
577 533
577 533
576 534
577 534
577 534
576 534
577 535
577 535
577 535
577 535
577 535
578 536
578 536
577 536
577 536
577 535
577 535
576 535
576 535
575 535
575 535
575 536
575 536
574 536
574 537
